ano,avaliacao,nome,rank
2015,7.38,Sub Terra,809
2015,7.16,Legacy: The Testament of Duke de Crecy,810
2015,7.05,Dream Factory,811
2015,7.03,Mahjong,812
2015,7.03,Tiny Epic Quest,813
2015,7.69,The City of Kings,814
2015,6.99,Attika,815
2015,6.87,Qwixx,816
2015,7.25,Jaws,817
2015,6.83,Zooloretto,818
2015,7.47,Trails of Tucana,819
2015,6.81,Concept,820
2015,6.98,Dungeons & Dragons: Castle Ravenloft Board Game,821
2015,6.92,Flick 'em Up!,822
2015,6.97,Snow Tails,823
2015,7.02,Fabled Fruit,824
2015,7.00,5-Minute Dungeon,825
2015,7.87,Imperium: Classics,826
2015,7.30,Ascension: Return of the Fallen,827
2015,7.28,Letter Jam,828
2015,6.97,Parade,829
2015,7.04,DC Comics Deck-Building Game,830
2015,7.15,Werewords,831
2015,7.09,Meeple Circus,832
2015,7.92,Unlock!: Timeless Adventures,833
2015,7.04,La Città,834
2015,7.06,Discoveries: The Journals of Lewis & Clark,835
2015,7.08,Antike,836
2015,7.46,Legendary Encounters: A Predator Deck Building Game,837
2015,7.13,The Grimm Forest,838
